¿Qué es una excepción en JavaScript?;Una excepción en JavaScript es un evento que interrumpe el flujo normal de ejecución de un programa. Las excepciones pueden ser lanzadas por el motor de JavaScript cuando ocurre un error o explícitamente por el código.;Las excepciones son útiles para manejar errores y condiciones anormales de manera controlada.;try { throw new Error('Something went wrong') } catch (e) { console.log(e.message) };
¿Cómo se utiliza la declaración try...catch en JavaScript?;La declaración try...catch en JavaScript se utiliza para manejar excepciones. El bloque try contiene el código que puede lanzar una excepción, y el bloque catch contiene el código que maneja la excepción.;El bloque catch se ejecuta si se lanza una excepción en el bloque try.;try { let result = riskyOperation() } catch (error) { console.error('An error occurred:', error) };
¿Qué es el bloque finally en una estructura try...catch?;El bloque finally es una parte opcional de la estructura try...catch que se ejecuta siempre, independientemente de si se lanzó una excepción o no. Se utiliza para realizar limpieza o liberar recursos.;El bloque finally se ejecuta después de los bloques try y catch.;try { let data = fetchData() } catch (e) { console.error('Fetch error:', e) } finally { console.log('Cleanup actions here') };
¿Cómo se lanza una excepción en JavaScript?;Se puede lanzar una excepción en JavaScript usando la palabra clave throw seguida de una expresión que representa el error. Esta expresión puede ser un objeto Error, una cadena, un número, etc.;Lanzar excepciones permite manejar errores de manera controlada en diferentes partes del código.;throw new Error('This is a custom error') throw 'This is a string error' throw 404;
¿Qué tipos de objetos de error existen en JavaScript?;JavaScript tiene varios tipos de objetos de error nativos, incluyendo Error, SyntaxError, TypeError, RangeError, ReferenceError, y EvalError. Cada tipo representa una categoría específica de error.;Los objetos de error pueden ser personalizados creando subclases de Error.;try { undefinedFunction() } catch (e) { if (e instanceof ReferenceError) { console.error('ReferenceError caught:', e) } }
¿Cómo se pueden crear errores personalizados en JavaScript?;Se pueden crear errores personalizados extendiendo la clase Error. Esto permite definir errores específicos para la aplicación y proporcionar mensajes de error más detallados.;Los errores personalizados pueden incluir propiedades adicionales para más contexto.;class CustomError extends Error { constructor(message) { super(message) this.name = 'CustomError' } } throw new CustomError('Something specific went wrong');
¿Qué es el objeto Error en JavaScript?;El objeto Error en JavaScript representa un error y contiene información sobre el error, como su mensaje y el stack trace. Se utiliza para manejar y lanzar excepciones.;El objeto Error puede ser extendido para crear errores personalizados.;try { throw new Error('An error occurred') } catch (e) { console.error(e.name + ': ' + e.message) };
¿Cómo se maneja un error sin detener la ejecución del programa?;Para manejar un error sin detener la ejecución del programa, se utiliza la declaración try...catch. Al atrapar el error, el código puede continuar ejecutándose después del bloque catch.;Es útil para mantener la aplicación funcionando y proporcionar retroalimentación al usuario.;try { let result = riskyOperation() } catch (e) { console.error('Error handled:', e) } console.log('Execution continues');
¿Qué es un TypeError en JavaScript?;Un TypeError en JavaScript es un error que ocurre cuando un valor no es del tipo esperado. Por ejemplo, intentar acceder a una propiedad de undefined o llamar a una variable que no es una función.;TypeError es una subclase del objeto Error.;try { let obj console.log(obj.property) } catch (e) { if (e instanceof TypeError) { console.error('TypeError caught:', e) } };
¿Cuál es la diferencia entre ReferenceError y SyntaxError?;ReferenceError ocurre cuando se hace referencia a una variable que no está definida. SyntaxError ocurre cuando hay un error en la sintaxis del código, como un paréntesis mal colocado.;Ambos son tipos de errores que se lanzan automáticamente por el motor de JavaScript.;try { console.log(undefinedVar) } catch (e) { if (e instanceof ReferenceError) { console.error('ReferenceError caught:', e) } } try { eval('var a = ') } catch (e) { if (e instanceof SyntaxError) { console.error('SyntaxError caught:', e) } };
